skill,source_file,bytes,source_sha256,decision,target,target_sha256,reason
cn-patent-examination-guide-2023,SKILL.md,8694,2a6f23ea8fc1106c8a2edebbb2b7856ac3bbfb51604beaca60091883b9dcbfa2,TRASH,,,技能入口和元数据重复，且不能代表2026现行基线
cn-patent-examination-guide-2023,_meta.json,125,e11a01b897f50409685003550f03ff857a5c49f295d8280017295809d25361c8,TRASH,,,技能入口和元数据重复，且不能代表2026现行基线
cn-patent-examination-guide-2023,references/patent-examination-rules.md,16376,dbecbb1d127c9ded00cd66bab55912c514dbe356f1a2a0fe602f5ac989c8aeed,MERGED_COPY,references/legacy/cn-examination-guide-2023/patent-examination-rules.md,dbecbb1d127c9ded00cd66bab55912c514dbe356f1a2a0fe602f5ac989c8aeed,保留为2023版离线关键词索引，受source-note门禁约束
cn-patent-examination-guide-2023,references/procedures.md,16953,ef57ca09ec954cf6c053856754eadc1f1038187f8b5b32fa7f2f756e10aa9d00,MERGED_COPY,references/legacy/cn-examination-guide-2023/procedures.md,ef57ca09ec954cf6c053856754eadc1f1038187f8b5b32fa7f2f756e10aa9d00,保留为2023版离线关键词索引，受source-note门禁约束
cn-patent-examination-guide-2023,references/special-domains.md,20919,06a0018ebe338a99d90fcccfba9fbfaeadd2f7d3850c20eb3d09955a44847ec3,MERGED_COPY,references/legacy/cn-examination-guide-2023/special-domains.md,06a0018ebe338a99d90fcccfba9fbfaeadd2f7d3850c20eb3d09955a44847ec3,保留为2023版离线关键词索引，受source-note门禁约束
cn-patent-examination-guide-2023,references/writing-standards.md,14993,54c1ddb16874cd32d2ce7f0e292e23ea2b3268162ba60b51caeb334bea4da2a6,MERGED_COPY,references/legacy/cn-examination-guide-2023/writing-standards.md,54c1ddb16874cd32d2ce7f0e292e23ea2b3268162ba60b51caeb334bea4da2a6,保留为2023版离线关键词索引，受source-note门禁约束
global-biblio-base,.claude-plugin/plugin.json,392,06ca7f472f9534ee8b1f143187c018070313d480b8385f6a8ee4d739c3cee905,TRASH,,,外部需邮箱及配额的非专利专用服务，不并入默认专利链
global-biblio-base,PIPELINE.md,13394,3122341411fbfd93e6b3e2b8f96e77462896609fb508a0cc6d2c7fb68ea61460,TRASH,,,外部需邮箱及配额的非专利专用服务，不并入默认专利链
global-biblio-base,README.md,5026,a1349bd0f07e4bb82a99a834548ee0d913a8e88cc935c79f20b2602849572893,TRASH,,,外部需邮箱及配额的非专利专用服务，不并入默认专利链
global-biblio-base,SKILL.md,62927,efb93af6270ed8a35e74977d55f4615c40d73b7803b5960136d8b558fef36fbd,TRASH,,,外部需邮箱及配额的非专利专用服务，不并入默认专利链
global-biblio-base,_meta.json,111,fa2b2bdbc0dae6e50ac28361b43c824612325faef474606296356d7e62a3d1c0,TRASH,,,外部需邮箱及配额的非专利专用服务，不并入默认专利链
global-biblio-base,config.example.json,220,7e14b3f3095ae5b114f444c46a4f1d7b8438c4a9c21db0bfd0e92b12822a9de8,TRASH,,,外部需邮箱及配额的非专利专用服务，不并入默认专利链
global-biblio-base,config.json,260,05a3a3973be1eea2998a53ab7ec21503e64d878776f4b605aee814d3fa369ef2,TRASH,,,外部需邮箱及配额的非专利专用服务，不并入默认专利链
global-biblio-base,references/account.md,5573,53d3a3cf110c225fcb081469e9b70744b9af88eeb17302463efc108a8e4b2b96,TRASH,,,外部需邮箱及配额的非专利专用服务，不并入默认专利链
hongzhua-zhuanli,SKILL.md,27773,cfe44f5396740bdc1fff643f30cd435ff110cb74061b5fdefe262af0a3505818,MERGED_DISTILLED,references/claims-and-office-action-practice.md,,仅提炼稳定方法，剔除静态周期、费用和未经核验断言
hongzhua-zhuanli,_meta.json,109,74cd0db3a8980bcc2531a2b38265530e42bb19007115f9e4304220b034ca9d27,TRASH,,,与P1/P2重复，或包含动态费用周期、模板化旧信息
hongzhua-zhuanli,references/claims-writing-guide.md,9763,797f53c074d67dd74c10958f28c0f97716f4de2e6078d180181b09249e5ea31f,MERGED_DISTILLED,references/claims-and-office-action-practice.md,,仅提炼稳定方法，剔除静态周期、费用和未经核验断言
hongzhua-zhuanli,references/examination-response.md,9873,a2dbd81a56e5e1ef2738d96eb9ab26a33121b3d19d43facb4b3422b4722483db,MERGED_DISTILLED,references/claims-and-office-action-practice.md,,仅提炼稳定方法，剔除静态周期、费用和未经核验断言
hongzhua-zhuanli,references/fees-timeline.md,9736,4f9cfec5853351c62e8bf8727503caf466f469f85ab6a00652e3cf64069df7d4,TRASH,,,与P1/P2重复，或包含动态费用周期、模板化旧信息
hongzhua-zhuanli,references/patent-search.md,9149,561fc0826432676fa9b655a186f764caa2c1ac390b5172f880c50481d4c3d028,TRASH,,,与P1/P2重复，或包含动态费用周期、模板化旧信息
hongzhua-zhuanli,references/patent-types-comparison.md,10391,7d6251387b35872fb54633118d852749e235188e5bd1c3bcdc63d4e2944dceb5,TRASH,,,与P1/P2重复，或包含动态费用周期、模板化旧信息
hongzhua-zhuanli,references/technical-disclosure.md,8815,4f7f3971e70f0c19dffba59b99509fc10d06600f96794e97c5c48a31e47f219a,TRASH,,,与P1/P2重复，或包含动态费用周期、模板化旧信息
patent-disclosure-skill,INSTALL.md,5572,b3a1a1e178a56e9a9b35847cfceb085adb8021e77725acaacd1fcc0b748ff5da,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,README.md,12986,c27b56df0d743fbbe3fbd4dac23c0c8144893c44d40815631cf6267ed793effd,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,SKILL.md,11125,51ec576de7f9ff2418e723eaf9e1a797b52d5de43beff5c3f0b0699df4179567,MERGED_DISTILLED,components/patent-lawyer-agent/SKILL.md,,只保留专利通俗解读路由，交底流程由现行P2承接
patent-disclosure-skill,_meta.json,116,676db04972cb865508e1ecabc0c3a7f47ad6a9c857127ed42c29b7b8d3217943,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,assets/obsidian/_专利解读索引.template.md,1867,e47b2fbdfebfe51932bd5d09e9bdcd038de6297c8492ee86ebc8bfac5111dba5,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/assets/obsidian/_专利解读索引.template.md,e47b2fbdfebfe51932bd5d09e9bdcd038de6297c8492ee86ebc8bfac5111dba5,专利解读笔记与Obsidian模板资产
patent-disclosure-skill,assets/obsidian/graph_color_groups.json,796,c991401b459168502d333e6301b6b38ff943fb340dc36e3181fbdfad163bc415,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/assets/obsidian/graph_color_groups.json,c991401b459168502d333e6301b6b38ff943fb340dc36e3181fbdfad163bc415,专利解读笔记与Obsidian模板资产
patent-disclosure-skill,assets/obsidian/patent-reader.css,1630,409b60716ba13080b02b4ffff89a2c320ac9be76f5349927fe2e8d6f987dcf1d,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/assets/obsidian/patent-reader.css,409b60716ba13080b02b4ffff89a2c320ac9be76f5349927fe2e8d6f987dcf1d,专利解读笔记与Obsidian模板资产
patent-disclosure-skill,assets/patent_note_template.md,3649,183e9d0c30fc8ccb143fd846ed94f67ff14fb384942a332c9ca5d6522a41de1b,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/assets/patent_note_template.md,183e9d0c30fc8ccb143fd846ed94f67ff14fb384942a332c9ca5d6522a41de1b,专利解读笔记与Obsidian模板资产
patent-disclosure-skill,prompts/correction_handler.md,2882,3ad1566efddcbb3117e7ad4983960c9de07fdd868b4aa82dc8b9b6d6a3297658,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,prompts/disclosure_builder.md,12072,1763e0d359a77a99580b37b2485e17bba252a03ed72c062430205536d268d245,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,prompts/disclosure_preview.md,941,8cc695b60d573dd058747e8a66fe236044851d1538429b94741d89c627fd8a0e,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,prompts/disclosure_self_check.md,6123,0471f2ff3111eb1fc54115ba86e37b40e6d0b422c2b916a46770c92f40a7694e,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,prompts/intake.md,978,510b6f9e3e88a30f4bbfc2ee5bf0643facc113be36c793793427f0f578291d0a,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,prompts/iteration_context.md,4463,dff7a593a3e4ae1cbee23dba606f406a1642720c607946520916e0d9c98e7a3a,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,prompts/merger.md,3450,508b1fe2fe566bb92ceb17ceddf5282969983be77ec1acb0167ebebacd16aae1,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,prompts/obsidian_ofm_companion.md,2386,3abb2b68221c88015d335f90be30416249a96dd5f27472b06d9abe55a6d448b9,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/prompts/obsidian_ofm_companion.md,3abb2b68221c88015d335f90be30416249a96dd5f27472b06d9abe55a6d448b9,专利通俗解读与Obsidian工作流提示
patent-disclosure-skill,prompts/obsidian_plugin_guide.md,1694,edf552dd3d91125922087fe4fc9869d64416f743286a585bbc5212be40c9539c,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/prompts/obsidian_plugin_guide.md,edf552dd3d91125922087fe4fc9869d64416f743286a585bbc5212be40c9539c,专利通俗解读与Obsidian工作流提示
patent-disclosure-skill,prompts/patent_plain_reader.md,18983,064d665490a821047385f74d4f1b1d655af7873a8c0e88399cb9efe6519ae16e,MERGED_ADAPTED,components/patent-lawyer-agent/toolkits/patent-reader/prompts/patent_plain_reader.md,79c701c70eb2eea0545e31ebcf2833cf0aa97d3793bb8bead5253170e1a362b5,保留通俗解读与Obsidian工作流提示，并将旧平台变量改为PATENT_READER_ROOT
patent-disclosure-skill,prompts/patent_points_analyzer.md,981,f98baaaddc3b136c35989bfde1c34f11f99264a0bd2ea1bde6781732bdb6c936,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
patent-disclosure-skill,prompts/patent_reader_self_check.md,1326,d55ab110d4e6e8b0df765d0e1a8fa0d01902653b3ec5acf41003718cab6803c2,MERGED_COPY,components/patent-lawyer-agent/toolkits/patent-reader/prompts/patent_reader_self_check.md,d55ab110d4e6e8b0df765d0e1a8fa0d01902653b3ec5acf41003718cab6803c2,专利通俗解读与Obsidian工作流提示
patent-disclosure-skill,prompts/prior_art_search.md,10847,6a266fa9111826ceca54b239e6e8e6d189f838b8ac483d9216dd97fcad829bb2,TRASH,,,交底流程及脚本与现行P2重复且版本更旧，或属于安装/说明冗余
