优先级,优先原因,源文件,相对路径,SHA256,别名路径数,别名路径
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/人才项目/2025-11-10__关于做好2025年度宁波市工业工程技术人员中级专业技术职务任职资格申报评审工作的通知__3de09113391a44648e6c9cee6916b001/附件/关于做好2025年度宁波市工业工程技术人员中级专业技术职务任职资格申报评审工作的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/人才项目/2025-11-10__关于做好2025年度宁波市工业工程技术人员中级专业技术职务任职资格申报评审工作的通知__3de09113391a44648e6c9cee6916b001/附件/关于做好2025年度宁波市工业工程技术人员中级专业技术职务任职资格申报评审工作的通知.pdf,c5ab99d9d24e2af147e7d4bbbb45984f44ff6e2b3a1902fbe414eb121435b972,1,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/人才项目/2025-11-10__关于做好2025年度宁波市工业工程技术人员中级专业技术职务任职资格申报评审工作的通知__3de09113391a44648e6c9cee6916b001/附件/关于做好2025年度宁波市工业工程技术人员中级专业技术职务任职资格申报评审工作的通知.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/人才项目/2025-11-10__关于做好2025年度宁波市数字工程技术人员中级专业技术职务任职资格申报评审工作的通知__0933ff0832ca4d78b0e9c20833744678/附件/关于做好2025年度宁波市数字工程技术人员中级专业技术职务任职资格申报评审工作的通知(1).pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/人才项目/2025-11-10__关于做好2025年度宁波市数字工程技术人员中级专业技术职务任职资格申报评审工作的通知__0933ff0832ca4d78b0e9c20833744678/附件/关于做好2025年度宁波市数字工程技术人员中级专业技术职务任职资格申报评审工作的通知(1).pdf,a75d38c6f0b95403d7601457047c65ac93a79ac431b62add4e44bb9cc5ebde52,1,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/人才项目/2025-11-10__关于做好2025年度宁波市数字工程技术人员中级专业技术职务任职资格申报评审工作的通知__0933ff0832ca4d78b0e9c20833744678/附件/关于做好2025年度宁波市数字工程技术人员中级专业技术职务任职资格申报评审工作的通知(1).pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/优质中小企业梯度培育/2025-05-29__关于组织做好2025年专精特新“小巨人”企业认定和复核工作的通知__3434d2625ce84fef8d71d6c5b0fc0f85/附件/[附件下载].pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/优质中小企业梯度培育/2025-05-29__关于组织做好2025年专精特新“小巨人”企业认定和复核工作的通知__3434d2625ce84fef8d71d6c5b0fc0f85/附件/[附件下载].pdf,760b0bc424e66e64f6765071bffda46ec6dea08ca1826c25da832b46e582be21,1,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/优质中小企业梯度培育/2025-05-29__关于组织做好2025年专精特新“小巨人”企业认定和复核工作的通知__3434d2625ce84fef8d71d6c5b0fc0f85/附件/[附件下载].pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/优质中小企业梯度培育/2026-04-03__关于组织开展2026年度宁波市第一批创新型中小企业评价认定及2023年第一批到期复核工作的通知__a2c8f3ab15d543c39eb2c14356fd1d87/附件/[附件下载].pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/优质中小企业梯度培育/2026-04-03__关于组织开展2026年度宁波市第一批创新型中小企业评价认定及2023年第一批到期复核工作的通知__a2c8f3ab15d543c39eb2c14356fd1d87/附件/[附件下载].pdf,fc0ab46f8e823ec0af7a1db1b24c269b1d83587d365695d54bd37b59d0c46248,1,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/优质中小企业梯度培育/2026-04-03__关于组织开展2026年度宁波市第一批创新型中小企业评价认定及2023年第一批到期复核工作的通知__a2c8f3ab15d543c39eb2c14356fd1d87/附件/[附件下载].pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/优质中小企业梯度培育/【过期】2025-05-30__浙江省经济和信息化厅关于开展2025年专精特新“小巨人”企业申报推荐和复核工作的通知__ab7f5f9fec9248e993f9dfc66999b08f/附件/浙经信软件〔2025〕140号.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/优质中小企业梯度培育/【过期】2025-05-30__浙江省经济和信息化厅关于开展2025年专精特新“小巨人”企业申报推荐和复核工作的通知__ab7f5f9fec9248e993f9dfc66999b08f/附件/浙经信软件〔2025〕140号.pdf,dcb1b11d7bd8069f51eb2023208bc7f4300e99bf561b3a897a7a60b438678592,4,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/优质中小企业梯度培育/【过期】2025-05-30__浙江省经济和信息化厅关于开展2025年专精特新“小巨人”企业申报推荐和复核工作的通知__ab7f5f9fec9248e993f9dfc66999b08f/附件/浙经信软件〔2025〕140号.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/杭州市/优质中小企业梯度培育/【过期】2025-05-30__浙江省经济和信息化厅关于开展2025年专精特新“小巨人”企业申报推荐和复核工作的通知__ab7f5f9fec9248e993f9dfc66999b08f/附件/浙经信软件〔2025〕140号.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/绍兴市/优质中小企业梯度培育/【过期】2025-05-30__浙江省经济和信息化厅关于开展2025年专精特新“小巨人”企业申报推荐和复核工作的通知__ab7f5f9fec9248e993f9dfc66999b08f/附件/浙经信软件〔2025〕140号.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/金华市/优质中小企业梯度培育/【过期】2025-05-30__浙江省经济和信息化厅关于开展2025年专精特新“小巨人”企业申报推荐和复核工作的通知__ab7f5f9fec9248e993f9dfc66999b08f/附件/浙经信软件〔2025〕140号.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/全省重点实验室/2025-12-02__关于组织开展2026年度市重点实验室认定及2023年市重点实验室绩效评价的通知__af5762fd68e44eeba8a36c603d302334/附件/附件1.《宁波市重点实验室认定和运行管理办法》.pdf.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/全省重点实验室/2025-12-02__关于组织开展2026年度市重点实验室认定及2023年市重点实验室绩效评价的通知__af5762fd68e44eeba8a36c603d302334/附件/附件1.《宁波市重点实验室认定和运行管理办法》.pdf.pdf,66221f36dfbdf376e6347c0f216524ec362fe851727a9ad544cd4266a9c6cabc,1,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/全省重点实验室/2025-12-02__关于组织开展2026年度市重点实验室认定及2023年市重点实验室绩效评价的通知__af5762fd68e44eeba8a36c603d302334/附件/附件1.《宁波市重点实验室认定和运行管理办法》.pdf.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/加计扣除/2025-03-21__关于做好2024年度享受研发费用加计扣除政策的工业母机企业申报工作的通知__6dfacaae43c545fca90f2728ef4cb95e/附件/2.关于2024年度享受研发费用加计扣除政策的工业母机企业清单制定工作有关事项的通知..pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/加计扣除/2025-03-21__关于做好2024年度享受研发费用加计扣除政策的工业母机企业申报工作的通知__6dfacaae43c545fca90f2728ef4cb95e/附件/2.关于2024年度享受研发费用加计扣除政策的工业母机企业清单制定工作有关事项的通知..pdf,07bd499988fcfb1156ddb6c6d644e7af05d4bc3acf861470f4f53592f52d6e7d,3,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/加计扣除/2025-03-21__关于做好2024年度享受研发费用加计扣除政策的工业母机企业申报工作的通知__6dfacaae43c545fca90f2728ef4cb95e/附件/2.关于2024年度享受研发费用加计扣除政策的工业母机企业清单制定工作有关事项的通知..pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/绍兴市/加计扣除/2025-03-21__关于做好2024年度享受研发费用加计扣除政策的工业母机企业申报工作的通知__6dfacaae43c545fca90f2728ef4cb95e/附件/2.关于2024年度享受研发费用加计扣除政策的工业母机企业清单制定工作有关事项的通知..pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/金华市/加计扣除/2025-03-21__关于做好2024年度享受研发费用加计扣除政策的工业母机企业申报工作的通知__6dfacaae43c545fca90f2728ef4cb95e/附件/2.关于2024年度享受研发费用加计扣除政策的工业母机企业清单制定工作有关事项的通知..pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-06-12__关于开展2025年度绿色工厂创建及绿色化改造认定工作的通知__bdb3cedec9fb4c449c5f4181a6c33c6b/附件/附件4：宁波市星级绿色工厂评价办法（2024版）.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-06-12__关于开展2025年度绿色工厂创建及绿色化改造认定工作的通知__bdb3cedec9fb4c449c5f4181a6c33c6b/附件/附件4：宁波市星级绿色工厂评价办法（2024版）.pdf,6a9c6c52792a8367d5a7ac0295e7e4a2a0d022a736124b620792253bd4782752,3,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-06-12__关于开展2025年度绿色工厂创建及绿色化改造认定工作的通知__bdb3cedec9fb4c449c5f4181a6c33c6b/附件/附件4：宁波市星级绿色工厂评价办法（2024版）.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-12-16__关于开展2025年度第六批绿色工厂创建及第三批绿色化改造认定工作的通知__27262dd832d64a609c6738e74c2139c8/附件/附件4：宁波市星级绿色工厂评价办法（2024版）.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2026-05-22__关于开展2026年度第二批绿色工厂创建及绿色化改造认定工作的通知__89d17b4cd7e14967b4b909255db61e49/附件/附件4：宁波市星级绿色工厂评价办法（2024版）.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-06-12__关于开展2025年度绿色工厂创建及绿色化改造认定工作的通知__bdb3cedec9fb4c449c5f4181a6c33c6b/附件/附件5：宁波市工业企业绿色化改造评价表（2025年修订版）.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-06-12__关于开展2025年度绿色工厂创建及绿色化改造认定工作的通知__bdb3cedec9fb4c449c5f4181a6c33c6b/附件/附件5：宁波市工业企业绿色化改造评价表（2025年修订版）.pdf,80b2941f6acb9eb66f4bed5cadf40cabe428f6a4a5ed5b039dbd1bf4031c8642,3,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-06-12__关于开展2025年度绿色工厂创建及绿色化改造认定工作的通知__bdb3cedec9fb4c449c5f4181a6c33c6b/附件/附件5：宁波市工业企业绿色化改造评价表（2025年修订版）.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-12-16__关于开展2025年度第六批绿色工厂创建及第三批绿色化改造认定工作的通知__27262dd832d64a609c6738e74c2139c8/附件/附件5：宁波市工业企业绿色化改造评价表（2025年修订版）.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2026-05-22__关于开展2026年度第二批绿色工厂创建及绿色化改造认定工作的通知__89d17b4cd7e14967b4b909255db61e49/附件/附件5：宁波市工业企业绿色化改造评价表（2025年修订版）.pdf
P0,2025—2026年申报通知,/Volumes/知识库/_云端知识库/10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-06-12__关于开展2025年度绿色工厂创建及绿色化改造认定工作的通知__bdb3cedec9fb4c449c5f4181a6c33c6b/附件/附件6：关于发布宁波市第一批绿色制造专家库和第三方服务机构名录库的通知.pdf,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-06-12__关于开展2025年度绿色工厂创建及绿色化改造认定工作的通知__bdb3cedec9fb4c449c5f4181a6c33c6b/附件/附件6：关于发布宁波市第一批绿色制造专家库和第三方服务机构名录库的通知.pdf,9c5467d1b77ea8074da6f5e8a4d9354219e6fe4c861cb4ae4937e7ba66fe4ee0,3,10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-06-12__关于开展2025年度绿色工厂创建及绿色化改造认定工作的通知__bdb3cedec9fb4c449c5f4181a6c33c6b/附件/附件6：关于发布宁波市第一批绿色制造专家库和第三方服务机构名录库的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2025-12-16__关于开展2025年度第六批绿色工厂创建及第三批绿色化改造认定工作的通知__27262dd832d64a609c6738e74c2139c8/附件/附件6：关于发布宁波市第一批绿色制造专家库和第三方服务机构名录库的通知.pdf | 10_政策与目录/政策数据库/企策顾问/申报通知/宁波市/技术改造和未来工厂/2026-05-22__关于开展2026年度第二批绿色工厂创建及绿色化改造认定工作的通知__89d17b4cd7e14967b4b909255db61e49/附件/附件6：关于发布宁波市第一批绿色制造专家库和第三方服务机构名录库的通知.pdf
